날짜,이름,유형
2019-01-01,New Year's Day,Public Holiday
2019-02-04,Seollal Holiday,Public Holiday
2019-02-05,Seollal,Public Holiday
2019-02-06,Seollal Holiday,Public Holiday
2019-02-14,Valentine's Day,Observance
2019-03-01,Independence Movement Day,National holiday
2019-03-21,March Equinox,Season
2019-04-05,Arbor Day,Observance
2019-05-01,Labor Day,Bank Holiday
2019-05-05,Children's Day,Public Holiday
2019-05-06,Children's Day observed,Public Holiday
2019-05-08,Parents' Day,Observance
2019-05-12,Buddha's Birthday,Public Holiday
2019-05-15,Teacher's Day,Observance
2019-06-06,Memorial Day,Public Holiday
2019-06-22,June Solstice,Season
2019-07-17,Constitution Day,Observance
2019-08-15,Liberation Day,National holiday
2019-09-12,Chuseok Holiday,Public Holiday
2019-09-13,Chuseok,Public Holiday
2019-09-14,Chuseok Holiday,Public Holiday
2019-09-23,September Equinox,Season
2019-10-01,Armed Forces Day,Observance
2019-10-03,National Foundation Day,National holiday
2019-10-09,Hangeul Proclamation Day,National holiday
2019-10-31,Halloween,Observance
2019-12-22,December Solstice,Season
2019-12-24,Christmas Eve,Observance
2019-12-25,Christmas Day,Public Holiday
2019-12-31,New Year's Eve,Observance
2020-01-01,New Year's Day,Public Holiday
2020-06-06,Memorial Day,Public Holiday
